time,open,high,low,close
2022-01-03 00:00:00,1.13693,1.13742,1.13645,1.13726
2022-01-03 01:00:00,1.13725,1.13778,1.13687,1.13728
2022-01-03 02:00:00,1.13728,1.1375899999999999,1.13608,1.13622
2022-01-03 03:00:00,1.13622,1.13654,1.13497,1.13588
2022-01-03 04:00:00,1.13588,1.13589,1.13422,1.13427
2022-01-03 05:00:00,1.1343,1.135,1.13413,1.13482
2022-01-03 06:00:00,1.13483,1.1349,1.13387,1.13406
2022-01-03 07:00:00,1.13406,1.13414,1.1336,1.1338
2022-01-03 08:00:00,1.1338,1.13465,1.13379,1.1343
2022-01-03 09:00:00,1.13431,1.13501,1.13349,1.1348
2022-01-03 10:00:00,1.13479,1.13479,1.13352,1.13468
2022-01-03 11:00:00,1.13466,1.13567,1.13355,1.13518
2022-01-03 12:00:00,1.13518,1.13598,1.1350500000000001,1.13551
2022-01-03 13:00:00,1.13555,1.1366100000000001,1.1351499999999999,1.13557
2022-01-03 14:00:00,1.13558,1.13595,1.13471,1.13585
2022-01-03 15:00:00,1.13585,1.1364,1.13456,1.13504
2022-01-03 16:00:00,1.13504,1.13519,1.13,1.13062
2022-01-03 17:00:00,1.13066,1.13094,1.12904,1.12918
2022-01-03 18:00:00,1.12919,1.12988,1.1283,1.12888
2022-01-03 19:00:00,1.12888,1.12902,1.12795,1.12837
2022-01-03 20:00:00,1.12837,1.12969,1.12829,1.12948
2022-01-03 21:00:00,1.12948,1.12995,1.12936,1.1297
2022-01-03 22:00:00,1.12967,1.13003,1.12938,1.12963
2022-01-03 23:00:00,1.12963,1.12989,1.12941,1.12971
2022-01-04 00:00:00,1.12961,1.12961,1.1292,1.12938
2022-01-04 01:00:00,1.1294,1.1301700000000001,1.1294,1.13016
2022-01-04 02:00:00,1.13016,1.13068,1.13011,1.13055
2022-01-04 03:00:00,1.1305399999999999,1.1309,1.1301700000000001,1.13066
2022-01-04 04:00:00,1.13066,1.13094,1.12998,1.13023
2022-01-04 05:00:00,1.13023,1.1304400000000001,1.12948,1.12978
2022-01-04 06:00:00,1.12977,1.13058,1.12961,1.13007
2022-01-04 07:00:00,1.13007,1.13058,1.13005,1.13049
2022-01-04 08:00:00,1.13049,1.13073,1.12921,1.1293199999999999
2022-01-04 09:00:00,1.1293199999999999,1.12944,1.12833,1.12917
2022-01-04 10:00:00,1.12917,1.13001,1.12875,1.12893
2022-01-04 11:00:00,1.12897,1.13081,1.1283,1.13022
2022-01-04 12:00:00,1.13022,1.13057,1.12946,1.12948
2022-01-04 13:00:00,1.12949,1.1296599999999999,1.12758,1.12761
2022-01-04 14:00:00,1.12758,1.12835,1.12723,1.12729
2022-01-04 15:00:00,1.12729,1.12898,1.12729,1.12801
2022-01-04 16:00:00,1.1280000000000001,1.12882,1.12777,1.12846
2022-01-04 17:00:00,1.12846,1.13226,1.1283400000000001,1.1309
2022-01-04 18:00:00,1.13092,1.13158,1.12855,1.12947
2022-01-04 19:00:00,1.12947,1.12962,1.12881,1.12937
2022-01-04 20:00:00,1.12938,1.12946,1.12794,1.12803
2022-01-04 21:00:00,1.12803,1.1293199999999999,1.12782,1.12878
2022-01-04 22:00:00,1.12878,1.12896,1.12808,1.12847
2022-01-04 23:00:00,1.12847,1.12874,1.1280999999999999,1.12862
2022-01-05 00:00:00,1.12852,1.12867,1.12808,1.12838
2022-01-05 01:00:00,1.12838,1.12866,1.12817,1.12829
2022-01-05 02:00:00,1.12829,1.12858,1.12765,1.1277300000000001
2022-01-05 03:00:00,1.12774,1.12886,1.12774,1.12857
2022-01-05 04:00:00,1.12857,1.12943,1.12848,1.12919
2022-01-05 05:00:00,1.1292,1.12968,1.12912,1.1295600000000001
2022-01-05 06:00:00,1.12957,1.12958,1.12882,1.12887
2022-01-05 07:00:00,1.12889,1.12946,1.1287,1.12935
2022-01-05 08:00:00,1.12935,1.13013,1.12925,1.12958
2022-01-05 09:00:00,1.12957,1.13026,1.12947,1.12986
2022-01-05 10:00:00,1.12986,1.13111,1.12965,1.13032
2022-01-05 11:00:00,1.13032,1.13083,1.12997,1.1306
2022-01-05 12:00:00,1.13059,1.1314,1.13043,1.13082
2022-01-05 13:00:00,1.13082,1.13236,1.13064,1.1319
2022-01-05 14:00:00,1.1319,1.13253,1.13049,1.13079
2022-01-05 15:00:00,1.1308,1.13286,1.13033,1.13236
2022-01-05 16:00:00,1.1323699999999999,1.13389,1.13209,1.1336
2022-01-05 17:00:00,1.1335899999999999,1.13441,1.13324,1.13373
2022-01-05 18:00:00,1.13373,1.13395,1.13229,1.13342
2022-01-05 19:00:00,1.13343,1.13466,1.13334,1.13412
2022-01-05 20:00:00,1.13408,1.13447,1.1335600000000001,1.13366
2022-01-05 21:00:00,1.13366,1.1339,1.13083,1.13104
2022-01-05 22:00:00,1.13105,1.1313,1.13018,1.1311
2022-01-05 23:00:00,1.13109,1.13136,1.13076,1.13135
2022-01-06 00:00:00,1.13111,1.1313,1.13055,1.13079
2022-01-06 01:00:00,1.13079,1.13138,1.13077,1.131
2022-01-06 02:00:00,1.131,1.1313,1.13075,1.13079
2022-01-06 03:00:00,1.13079,1.13187,1.13048,1.13164
2022-01-06 04:00:00,1.13164,1.13204,1.1312,1.1319
2022-01-06 05:00:00,1.13188,1.13188,1.13084,1.1314899999999999
2022-01-06 06:00:00,1.1315,1.13162,1.13112,1.1312
2022-01-06 07:00:00,1.1312,1.13121,1.13068,1.13089
2022-01-06 08:00:00,1.13089,1.1309,1.12962,1.12972
2022-01-06 09:00:00,1.12973,1.12974,1.12846,1.12896
2022-01-06 10:00:00,1.12898,1.13095,1.12848,1.1294
2022-01-06 11:00:00,1.1294,1.13084,1.12886,1.13055
2022-01-06 12:00:00,1.13053,1.13269,1.13046,1.13125
2022-01-06 13:00:00,1.13121,1.13216,1.13024,1.13134
2022-01-06 14:00:00,1.13135,1.13187,1.13047,1.13131
2022-01-06 15:00:00,1.13131,1.13201,1.1303,1.13119
2022-01-06 16:00:00,1.13119,1.13316,1.13063,1.13216
2022-01-06 17:00:00,1.13264,1.13297,1.1293,1.12961
2022-01-06 18:00:00,1.1296,1.13092,1.12904,1.13069
2022-01-06 19:00:00,1.13069,1.13091,1.12934,1.12958
2022-01-06 20:00:00,1.12957,1.12979,1.12881,1.12919
2022-01-06 21:00:00,1.12919,1.12998,1.12868,1.1287
2022-01-06 22:00:00,1.1287,1.12943,1.12862,1.12913
2022-01-06 23:00:00,1.12915,1.12996,1.1287,1.12976
2022-01-07 00:00:00,1.1296,1.1296,1.1292200000000001,1.12937
2022-01-07 01:00:00,1.12937,1.12977,1.12934,1.12947
2022-01-07 02:00:00,1.12952,1.12978,1.12901,1.12958
2022-01-07 03:00:00,1.12959,1.13009,1.12959,1.13006
2022-01-07 04:00:00,1.13006,1.1301700000000001,1.12952,1.12955
2022-01-07 05:00:00,1.12955,1.1301700000000001,1.12955,1.12991
2022-01-07 06:00:00,1.12991,1.13034,1.1298,1.13009
2022-01-07 07:00:00,1.13009,1.13034,1.12998,1.13023
2022-01-07 08:00:00,1.13023,1.13034,1.1298300000000001,1.12989
2022-01-07 09:00:00,1.12987,1.13059,1.1298,1.13055
2022-01-07 10:00:00,1.13055,1.13153,1.13014,1.13123
2022-01-07 11:00:00,1.13121,1.1317300000000001,1.13093,1.1314899999999999
2022-01-07 12:00:00,1.1314899999999999,1.13192,1.13034,1.1306
2022-01-07 13:00:00,1.1306,1.13081,1.13009,1.13045
2022-01-07 14:00:00,1.13045,1.13051,1.12963,1.12975
2022-01-07 15:00:00,1.12975,1.13226,1.1292200000000001,1.1301700000000001
2022-01-07 16:00:00,1.1301700000000001,1.13343,1.1299,1.13302
2022-01-07 17:00:00,1.13302,1.13491,1.13293,1.13468
2022-01-07 18:00:00,1.13469,1.13571,1.13375,1.13564
2022-01-07 19:00:00,1.13564,1.13582,1.13494,1.13564
2022-01-07 20:00:00,1.1356,1.13622,1.13547,1.13574
2022-01-07 21:00:00,1.13572,1.13647,1.13568,1.1362700000000001
2022-01-07 22:00:00,1.1362700000000001,1.13639,1.13573,1.13613
2022-01-07 23:00:00,1.1360999999999999,1.13613,1.1358,1.1359
2022-01-10 00:00:00,1.1355,1.13597,1.13524,1.1356
2022-01-10 01:00:00,1.1356,1.13599,1.13492,1.13532
2022-01-10 02:00:00,1.13532,1.13579,1.1351499999999999,1.1354899999999999
2022-01-10 03:00:00,1.1354899999999999,1.13563,1.13497,1.13502
